price,description,charge_type,DateUpdated
302,ADENOVIRUS,standard,2020-03-23
157,ADHESIVE SKIN MASTISOL 2OZ 052306,standard,2020-03-23
255,ADL/LIFE SKILLS OCCUPATIONAL THER,standard,2020-03-23
68,ADMINISTRATION OF FLU VACCINE,standard,2020-03-23
102,ADMINISTRATION-HEP.B VACCINE,standard,2020-03-23
102,ADMINISTRATION-PNEUMONIA VACCINE,standard,2020-03-23
283,ADRENAL ANTIBODY,standard,2020-03-23
"9,180",AEQUALIS REVERSED,standard,2020-03-23
"8,494",AEQUALIS REVERSED 3MM,standard,2020-03-23
189,AEROBIC ISOLATE ID,standard,2020-03-23
340,AEROSOL TRMT/INITIAL EVAL,standard,2020-03-23
209,AEROSOLIZED TREATMENT SUBSEQUENT,standard,2020-03-23
125,AFB SMEAR ONLY,standard,2020-03-23
47,"AGGRENOX CAPSULE, 25MG-200MG",standard,2020-03-23
763,"ALBENDAZOLE TAB, 200 MG",standard,2020-03-23
564,"ALBUMIN 25%, PER 50ML, INJ(100ML)",standard,2020-03-23
354,"ALBUMIN 5%, PER 250ML, INJ(500ML)",standard,2020-03-23
564,"ALBUMIN INJ, 25% (50ML)",standard,2020-03-23
637,"ALBUMIN INJ, 5% (250ML)",standard,2020-03-23
167,"ALBUMIN INJ, 5% (50ML)",standard,2020-03-23
116,"ALBUMIN, SERUM",standard,2020-03-23
4,ALBUTEROL 2MG/5ML SYRUP,standard,2020-03-23
386,"ALBUTEROL CFC FREE INHALER,90MCG/",standard,2020-03-23
365,"ALBUTEROL HFA INHALER, 18 GM",standard,2020-03-23
2,"ALBUTEROL NEB SOLN, 0.083% (3ML)",standard,2020-03-23
1,"ALBUTEROL NEB SOLN, 0.5% (20ML)",standard,2020-03-23
6,"ALBUTEROL NEB SOLN,0.021%(3ML)PED",standard,2020-03-23
7,"ALBUTEROL NEB SOLN,0.042%(3ML)PED",standard,2020-03-23
1,"ALBUTEROL NEB SOLN,0.5%(0.5ML)",standard,2020-03-23
132,"ALBUTEROL SULFATE INHALER, 18GM",standard,2020-03-23
15,ALBUTEROL SULFATE PER MG,standard,2020-03-23
12,"ALCHOL SOL, 70% (480ML)",standard,2020-03-23
252,"ALCOHOL,BLOOD-ETHANOL ASSAY",standard,2020-03-23
3,ALDACTAZINE ORAL SUSP,standard,2020-03-23
226,ALDOLASE SERUM,standard,2020-03-23
959,ALDOSTERONE PLASMA,standard,2020-03-23
"4,816",ALEXIS EXTRACTION SYSTEM GTG17,standard,2020-03-23
847,ALEXIS ORTHO PROTECT SM/MED HR004,standard,2020-03-23
41,"ALISKIREN TAB, 150MG",standard,2020-03-23
545,ALKALINE PHOS BONE ISO 29498,standard,2020-03-23
344,ALKALINE PHOSPHAT ISOENZ,standard,2020-03-23
122,ALKALINE PHOSPHATASE,standard,2020-03-23
100,"ALLERGY TESTING,PERC/DERM,# TESTS",standard,2020-03-23
"11,676",ALLOGRAFT ACHILL TENDW/BLCK453042,standard,2020-03-23
"8,173",ALLOGRAFT BIOADAPT DBM BRIDGE24CC,standard,2020-03-23
"3,503",ALLOGRAFT BIOREADY DBM5CC DS00105,standard,2020-03-23
"21,490",ALLOGRAFT BONE PATELLA10MM 443002,standard,2020-03-23
"20,141",ALLOGRAFT BONEPAT TEND9/10 443012,standard,2020-03-23
"30,836",ALLOGRAFT BREASTFLEXHD11X20SF2000,standard,2020-03-23
"33,483",ALLOGRAFT BREASTFLEXHD13X22SF3000,standard,2020-03-23
"30,636",ALLOGRAFT BREASTFLEXHD13X22SF3300,standard,2020-03-23
"19,017",ALLOGRAFT BRST KIT 9X15 SF1000,standard,2020-03-23
"2,611",ALLOGRAFT CANC PLUG 11 FCPD11,standard,2020-03-23
"67,843",ALLOGRAFT FEM HEMICOND LFT FCA80,standard,2020-03-23
"14,960",ALLOGRAFT FEMORAL CORT STRUT 25CM,standard,2020-03-23
"4,782",ALLOGRAFT FIBULA SHAFT 10 CM,standard,2020-03-23
"13,830",ALLOGRAFT FLEXIGRAFT FROZ FGL,standard,2020-03-23
"15,967",ALLOGRAFT GRAFIXCORE5X5CM PS12055,standard,2020-03-23
"18,476",ALLOGRAFT ILIUM 60MM 450910,standard,2020-03-23
"15,636",ALLOGRAFT ILLUM 2.2CMX55MM 400520,standard,2020-03-23
"34,990",ALLOGRAFT LATERAL MENISCUS,standard,2020-03-23
"26,884",ALLOGRAFT MENISCUS LFT FMNLL,standard,2020-03-23
"20,141",ALLOGRAFT PATELTENDON11/11 443005,standard,2020-03-23
"15,179",ALLOGRAFT POST TIB 220MM 443016,standard,2020-03-23
"6,867",ALLOGRAFT REV CORE 14MM 400134,standard,2020-03-23
"6,526",ALLOGRAFT REV CORE10MM 400130,standard,2020-03-23
"9,428",ALLOGRAFT STRAVIX 2X4CM PS60005,standard,2020-03-23
"14,974",ALLOGRAFT STRAVIX 3X6CM PS60008,standard,2020-03-23
"37,947",ALLOGRAFT TALUS LFT 32647002,standard,2020-03-23
"7,531",ALLOGRAFT TEND VERSAGRAFT VRG001,standard,2020-03-23
"8,845",ALLOGRAFT TENDON3-10MMX26 430350,standard,2020-03-23
"25,595",ALLOGRAFT TISJUVCARTIL00560600011,standard,2020-03-23
"17,689",ALLOGRAFT TRINITY ELITE 410002,standard,2020-03-23
"9,097",ALLOGRAFT WEDG25-30MM ILIAC450914,standard,2020-03-23
"5,494",ALLOGRAFT WEDGE8MM ILIAC CR450913,standard,2020-03-23
"5,882",ALLOGRAFT WEDGE9MM ILIAC CR450912,standard,2020-03-23
"6,101",ALLOGRFT GRAFIXPRIME2X3CM PS11023,standard,2020-03-23
"7,487",ALLOGRFT GRAFIXPRIME3X4CM PS11034,standard,2020-03-23
"15,973",ALLOGRFT GRAFIXPRIME5X5CM PS11055,standard,2020-03-23
800,ALLOGRFT PUROS CANC PART1CC 68211,standard,2020-03-23
2,"ALLOPURINOL TAB, 100MG",standard,2020-03-23
"6,120",ALLOWRAP DS 2X2 CM 31022002,standard,2020-03-23
4,"ALLUPURINOL TAB, 300 MG",standard,2020-03-23
391,ALPHA FETOPROTEIN SERUM,standard,2020-03-23
316,ALPHA I ANTITRYPSIN,standard,2020-03-23
337,ALPHA/ANTITRYPSIN PHENOTY,standard,2020-03-23
738,ALPHAGAN P 0.15%,standard,2020-03-23
0,ALPRAZOLAM 0.25MG TAB,standard,2020-03-23
4,ALPRAZOLAM 0.5MG TAB,standard,2020-03-23
2,"ALPROSTADIL PED INJ, 500MCG/ML",standard,2020-03-23
"1,538",ALS I NON-EMERGENCY TRANSPORT,standard,2020-03-23
"3,432",ALS LEVEL 1 ASSESSMENT ONLY,standard,2020-03-23
"3,432",ALS LEVEL 1 EMERGENCY TRANSPORT,standard,2020-03-23
"3,820",ALS LEVEL 2,standard,2020-03-23
157,"ALTAZANAVIR CAP, 150MG",standard,2020-03-23
157,"ALTAZANAVIR CAP, 200MG",standard,2020-03-23
266,"ALTEPLASE, PER 1 MG, INJ (1MG/ML)",standard,2020-03-23
491,"ALTEPLASE, PER 1 MG, INJ (2MG)",standard,2020-03-23
560,"ALTEPLASE, PER 1 MG,INJ (100 DIL)",standard,2020-03-23
27,"ALUM HYDROXIDE SUSP, 320 MG/5ML",standard,2020-03-23
255,ALUM. AMMONIUM PWD.,standard,2020-03-23
590,ALUMINUM,standard,2020-03-23
12,AMANTADINE 100MG CAP,standard,2020-03-23
8,"AMANTADINE SYRUP, 50MG/5ML",standard,2020-03-23
943,AMBULANCE SERVICE(BLS)TRANSPORT,standard,2020-03-23
17,AMIKACIN SULF@100MG INF(500MG-PB),standard,2020-03-23
6,AMIKACIN SULF@100MG INF(5MG-NICU),standard,2020-03-23
7,"AMILORIDE TAB, 5 MG",standard,2020-03-23
453,"AMINO ACID 5% / DEX 15%, 2000 ML",standard,2020-03-23
567,"AMINO ACID 5% / DEX 20%, 2000 ML",standard,2020-03-23
21,"AMINO ACID INJ, 10% (PEDIATRIC)",standard,2020-03-23
85,"AMINO ACID INJ, 15% (NOVAMINE)",standard,2020-03-23
"1,179",AMINO ACID QUANT ON CSF,standard,2020-03-23
401,AMINO ACID QUANTIT ON URI,standard,2020-03-23
140,AMINOCAPROIC ACID 500MG TAB,standard,2020-03-23
15,"AMINOCAPROIC ACID INJ, 5G/20ML",standard,2020-03-23
23,AMINOPHYLLIN @ 250MG INJ (250MG),standard,2020-03-23
249,AMIODARENE,standard,2020-03-23
3,AMIODARONE 200MG TAB,standard,2020-03-23
5,AMIODARONE HCL @ 30 MG INJ (150),standard,2020-03-23
2,AMIODARONE HCL @ 30 MG INJ (450),standard,2020-03-23
4,AMIODARONE HCL @ 30 MG INJ (900),standard,2020-03-23
118,AMIPICILLIN @500MG INJ(VIAL125MG),standard,2020-03-23
45,AMIPICILLIN @500MG INJ(VIAL250MG),standard,2020-03-23
25,AMIPICILLIN @500MG INJ(VIAL500MG),standard,2020-03-23
417,AMITRIPTYLINE ASSAY,standard,2020-03-23
4,AMITRIPTYLINE HCL TAB 50MG,standard,2020-03-23
1,"AMITRIPTYLINE HCL TAB, 10MG",standard,2020-03-23
2,"AMITRIPTYLINE HCL TAB, 25MG",standard,2020-03-23
9,"AMLODIPINE BESYLATE TAB, 2.5MG",standard,2020-03-23
9,"AMLODIPINE BESYLATE TAB, 5MG",standard,2020-03-23
1,"AMLODIPINE TAB, 10MG",standard,2020-03-23
342,AMMONIA PLASMA,standard,2020-03-23
2,"AMMONIA SPIRIT, ARROMTIC INH",standard,2020-03-23
989,AMNIOCENTESIS,standard,2020-03-23
28,AMOXICILLIN & K CLAVANATE,standard,2020-03-23
1,AMOXICILLIN 250MG CAP,standard,2020-03-23
2,"AMOXICILLIN CAP, 500MG",standard,2020-03-23
2,AMOXICILLIN SUSP 125MG/5ML (UD),standard,2020-03-23
2,"AMOXICILLIN SUSP, 250MG/5ML (UD)",standard,2020-03-23
3,"AMOXICILLIN SUSP, 400 MG/5ML",standard,2020-03-23
258,AMPHOTERICIN B@50MG INJ(50MGVIAL),standard,2020-03-23
24,AMPICILLIN @500MG INJ (1G ADD),standard,2020-03-23
25,AMPICILLIN @500MG INJ (1G VIAL),standard,2020-03-23
24,AMPICILLIN @500MG INJ (2G ADD),standard,2020-03-23
23,AMPICILLIN @500MG INJ (2G VIAL),standard,2020-03-23
1,"AMPICILLIN CAP, 250MG",standard,2020-03-23
2,"AMPICILLIN CAP, 500MG",standard,2020-03-23
4,"AMPICILLIN SUSP,250MG/5ML (UD)",standard,2020-03-23
170,AMYLASE SERUM,standard,2020-03-23
313,ANA,standard,2020-03-23
261,ANA QUANTITATION,standard,2020-03-23
190,ANAEROBIC ISOLATE ID,standard,2020-03-23
27,ANBESOL LIQUID (9ML),standard,2020-03-23
"1,860",ANCH SUT HEALIX BR 5.5 3SUT222298,standard,2020-03-23
"2,290",ANCH SUTSWVLCK5.5X19.1MMAR2323BCC,standard,2020-03-23
"1,506",ANCHOR CANC HTO 28MM AR1340128,standard,2020-03-23
"1,507",ANCHOR CANC IBAL HTO26MMAR1340126,standard,2020-03-23
"1,507",ANCHOR CANCELL HTO 30MM AR1340130,standard,2020-03-23
"1,507",ANCHOR CANCELL HTO 32MM AR1340132,standard,2020-03-23
"2,033",ANCHOR CORKSCREW 5.5 AR1927BCT,standard,2020-03-23
"1,506",ANCHOR CORT HTO 32MM AR1340230,standard,2020-03-23
"1,507",ANCHOR CORT HTO 38MM AR1340238,standard,2020-03-23
"1,507",ANCHOR CORT HTO 44MM AR1340244,standard,2020-03-23
"2,678",ANCHOR GRYPHON PEEK 3.0 223147,standard,2020-03-23
"1,913",ANCHOR KNOTLESS TITAN MITEK212029,standard,2020-03-23
"2,391",ANCHOR MINI SUT #0 ORTHO 212038,standard,2020-03-23
"9,040",ANCHOR PEG SHOULDERGLENOID SZ52MM,standard,2020-03-23
"1,891",ANCHOR QCKANCHR2MMW2ORTHCRD212035,standard,2020-03-23
"2,189",ANCHOR QFIX SUR 1.8 251800,standard,2020-03-23
"2,189",ANCHOR QFIX SUT 2.8 252800,standard,2020-03-23
"1,927",ANCHOR SUT 4.75X19.1 AR2324PSLC,standard,2020-03-23
"2,290",ANCHOR SUT BIO4.75X19.1 AR2324BCC,standard,2020-03-23
"2,048",ANCHOR SUT BIOC 6.25X19.1AR1662BC,standard,2020-03-23
"2,160",ANCHOR SUT FIBERTAK DBLLD AR36022,standard,2020-03-23
"2,074",ANCHOR SUT FOOTPRINT 4.5 72202901,standard,2020-03-23
"2,481",ANCHOR SUT FOOTPRINT 4.5 72203783,standard,2020-03-23
"2,210",ANCHOR SUT HEALICOIL 4.5 72203378,standard,2020-03-23
"2,299",ANCHOR SUT HEALICOIL 5.5 72203380,standard,2020-03-23
"2,189",ANCHOR SUT HEALICOIL 5.5 72203983,standard,2020-03-23
"2,189",ANCHOR SUT HEALICOIL 5.5 72203984,standard,2020-03-23
"2,105",ANCHOR SUT HEALIX 5.5 222331,standard,2020-03-23
536,ANCHOR SUT MENS DARTSHEALTHAR3007,standard,2020-03-23
"2,189",ANCHOR SUT MULTIFIX 5.5 72290001,standard,2020-03-23
"1,985",ANCHOR SUT PEEK 2.9X12.5 AR2923PS,standard,2020-03-23
"2,481",ANCHOR SUT PEEK 4.75 AR2324PCT,standard,2020-03-23
"2,014",ANCHOR SUT PEEK 5.5 72203379,standard,2020-03-23
"2,145",ANCHOR SUT PEEK 5.5X20 AR2323PSL,standard,2020-03-23
"2,317",ANCHOR SUT PEEK 7X19.5 AR1662PSL7,standard,2020-03-23
"1,927",ANCHOR SUT PEEK5.5X19.1AR2323PSLC,standard,2020-03-23
132,ANCHOR SUT RELOAD AR7203,standard,2020-03-23
"2,440",ANCHOR SUT SWIVLCK8X19.5AR1662BC8,standard,2020-03-23
"1,859",ANCHOR SUTURE 2.4X6.5 AR1320BCNF,standard,2020-03-23
"2,288",ANCHOR SUTURE 2.9X12.5 AR2923BC,standard,2020-03-23
"1,927",ANCHOR SUTURE 3X14MM AR1934BCF2,standard,2020-03-23
"1,643",ANCHOR SUTURE BIORAP 72201541,standard,2020-03-23
"2,163",ANCHOR SUTURE FASTIN#2 222720,standard,2020-03-23
"1,722",ANCHOR SUTURE FOOTPNT5.5 72202902,standard,2020-03-23
"1,860",ANCHOR SUTURE GII SZ2 222983,standard,2020-03-23
"1,860",ANCHOR SUTURE HEALIX 6.5MM 222301,standard,2020-03-23
"1,860",ANCHOR SUTURE HEALIX BR4.5 222296,standard,2020-03-23
"2,481",ANCHOR SUTURE PEEK4.75 AR2324PCTT,standard,2020-03-23
276,ANCHOR SUTURE TIGER STICK AR7209T,standard,2020-03-23
"1,894",ANCHOR SUTUREFIX 1.7MM 72203852,standard,2020-03-23
"1,925",ANCHOR SUTUREFIX 1.9MM 72203854,standard,2020-03-23
691,ANDROSTENEDIONE,standard,2020-03-23
642,"ANELGESICS,NON-OPIOID,1-2 ASSAY",standard,2020-03-23
"3,116",ANESTHESIA ENDO,standard,2020-03-23
"3,525",ANESTHESIA EPIDURAL/SPINAL/OB,standard,2020-03-23
"7,287",ANESTHESIA OR,standard,2020-03-23
"5,322","ANG,EXTREMY, BILAT,S&I",standard,2020-03-23
"4,603","ANG,PEL,SEL/SUB-SEL S",standard,2020-03-23
"3,222","ANG,PUL,UNI,SELCT, S&",standard,2020-03-23
"8,072","ANG,VISC,SEL/SUB SEL",standard,2020-03-23
343,ANGIO CONV ENZYME,standard,2020-03-23
"4,867",ANGIO EXT UNI S&I,standard,2020-03-23
"5,373","ANGIOGRAPHY,SPINAL SELECTIVE",standard,2020-03-23
577,ANKLE 2 VIEWS,standard,2020-03-23
649,ANKLE 3+ VIEWS,standard,2020-03-23
"1,662",ANNULOTOMY KNIVE 158703,standard,2020-03-23
519,ANTENNA INTERSTIM EXTERNAL,standard,2020-03-23
"3,426",ANTEPARTUM MANIPULATION (VERSION),standard,2020-03-23
"13,153",ANTHOLOGY OFFSET STD SZ 7,standard,2020-03-23
"13,153",ANTHOLOGY SZ 10 STD HA,standard,2020-03-23
"13,153",ANTHOLOGY SZ 11,standard,2020-03-23
"13,153",ANTHOLOGY SZ 12 STD ST (71357012),standard,2020-03-23
451,ANTI DNA DOUBLE STRAND,standard,2020-03-23
284,ANTI DNA SINGLE STRAND,standard,2020-03-23
311,ANTI DNASE B TITER,standard,2020-03-23
283,ANTI GLIADIN ANTIBODIES,standard,2020-03-23
278,ANTI HEPATITIS B CORE IGM,standard,2020-03-23
419,ANTI JO-1 (POLYMYOSITIS),standard,2020-03-23
282,ANTI MITOCHONDRIAL,standard,2020-03-23
419,ANTI RNA,standard,2020-03-23
419,ANTI SCLERODERMA,standard,2020-03-23
288,"ANTIBODY ELUTION, RBC",standard,2020-03-23
556,"ANTIBODY ID, RBC, EACH",standard,2020-03-23
317,"ANTIBODY, INFLUENZA VIRUS",standard,2020-03-23
208,"ANTIBODY, WEST NILE VIRUS",standard,2020-03-23
244,"ANTIBODY, WEST NILE VIRUS, IGM",standard,2020-03-23
399,"ANTIBODY,CMV,IGM",standard,2020-03-23
208,"ANTIBODY,HIV-1",standard,2020-03-23
601,ANTICARDIOLIPIN ANTIBODY,standard,2020-03-23
128,ANTICOAG.PRACTICE-PHARM.VISIT PT,standard,2020-03-23
809,ANTIDIURETIC HORMONE,standard,2020-03-23
283,ANTI-ENDOMYSIAL ANTIBODIE,standard,2020-03-23
302,ANTIGLORMERULAR BASE MEM,standard,2020-03-23
257,ANTIHISTONE ANTIBODIES,standard,2020-03-23
283,ANTIMYOCARDIAL,standard,2020-03-23
283,ANTINEUTROPHIL ANTIBODY,standard,2020-03-23
313,ANTINUCLEAR ANTIB ON BD F,standard,2020-03-23
2,ANTIOXIDANT MULTIVIT W/MINERAL PE,standard,2020-03-23
419,ANTIPANCREAT ISLE CELL AB,standard,2020-03-23
283,ANTIPARIETAL ANTIBODY,standard,2020-03-23
434,ANTIPLATELET ANTIBODY,standard,2020-03-23
282,ANTISMITH AB,standard,2020-03-23
172,ANTI-STREP TITER,standard,2020-03-23
279,ANTITHROMBIN III,standard,2020-03-23
256,ANTITHROMBIN III ANTIGEN,standard,2020-03-23
370,ANTITHYROGLOBULIN ANTIBOD,standard,2020-03-23
2,ANUSOL SUPP,standard,2020-03-23
"3,067","AORT, THOR, BY SER S&I",standard,2020-03-23
362,"AORTOGRAM, AORTOFEM",standard,2020-03-23
729,APEX PIN BOLT 3-6 49331022,standard,2020-03-23
491,APH-DIAGNOSTIC INTERVIEW W/ OTHER,standard,2020-03-23
700,APH-DIAGNOSTIC INTERVIEW-DR/APN,standard,2020-03-23
566,APH-EDUCATION AND TRAINING,standard,2020-03-23
"2,907",APHERESIS RED BLOOD CELLS,standard,2020-03-23
500,APH-FAMILY PSYCHOTHER.W/ PAT.,standard,2020-03-23
500,APH-GROUP PSYCHOTHERAPY,standard,2020-03-23
255,APH-MED.MANAGEMENT-DETAIL/MODER.,standard,2020-03-23
196,APH-MED.MANAGEMENT-EXPAND/LOW,standard,2020-03-23
650,APH-PATIENT PSYCHOTHER.-45 MIN.,standard,2020-03-23
47,"APIXIBAN TAB, 2.5 MG",standard,2020-03-23
44,"APIXIBAN TAB, 5 MG",standard,2020-03-23
154,APNEA TEST,standard,2020-03-23
360,APOLIPOPROTEIN EACH,standard,2020-03-23
301,APPL LOWER LEG SPLINT,standard,2020-03-23
301,APPL OF FINGER SPLINT,standard,2020-03-23
730,APPL OF FOREARM CAST,standard,2020-03-23
77,APPLICATION COLD PACKS,standard,2020-03-23
77,APPLICATION HOT PACKS,standard,2020-03-23
525,APPLICATION OF PASTE BOOT,standard,2020-03-23
788,APPLICATION OF PASTE BOOT BILATER,standard,2020-03-23
281,APPLICATOR ENDOSCOPIC FOR SURG,standard,2020-03-23
"1,156",APPLICATOR FUSE CEMENT 985002,standard,2020-03-23
"1,071",APPLIER CLIP LIGAMAX 5,standard,2020-03-23
301,APPLY FOREARM SPLINT,standard,2020-03-23
267,APPLY FOREARM SPLINT-DYNAMIC,standard,2020-03-23
301,APPLY LONG ARM SPLINT,standard,2020-03-23
"1,017",APPLY MULTLAY COMPRS LWR LEG,standard,2020-03-23
495,"APPLY ON-BODY INJECTOR,TIMED INJ.",standard,2020-03-23
"1,177",APPLY RIGID LEG CAST,standard,2020-03-23
505,APPLY SHORT LEG CAST,standard,2020-03-23
24,"AQUAPHOR OINT, 1.75G",standard,2020-03-23
"7,852","AQUASOL A INJ 100,000U/2ML",standard,2020-03-23
"6,072",ARCH FOOT 155MM 49346155,standard,2020-03-23
32,"ARGATROBAN,NON-ESRD,PER 1 MG (50)",standard,2020-03-23
12,"ARGATROBAN,NON-ESRD,PER 1MG (250)",standard,2020-03-23
238,ARGININE INFUSION 10% 300ML,standard,2020-03-23
44,"ARIPIPRAZOLE ORAL SOLN, 1MG/ML (1",standard,2020-03-23
182,"ARIPIPRAZOLE TAB, 10MG",standard,2020-03-23
174,"ARIPIPRAZOLE TAB, 15MG",standard,2020-03-23
175,"ARIPIPRAZOLE TAB, 2MG",standard,2020-03-23
170,"ARIPIPRAZOLE TAB, 5MG",standard,2020-03-23
497,ARISTA 1GR HEMOSTAT SM0005USA,standard,2020-03-23
